event_id,timestamp,period,source_ip,destination_service,user_role,request_method,requests_per_min,payload_size_bytes,response_time_ms,cpu_load_percent,source_port,severity_level,is_malicious,attack_type
EVT-00028,2026-03-16 08:06:45,baseline,10.0.1.65,api,user,GET,21,9.3,5.82,40.63,53311,Low,0,normal
EVT-00029,2026-03-16 08:07:00,baseline,10.0.14.15,api,guest,GET,12,11.38,18.15,30.96,54960,Low,0,normal
EVT-00030,2026-03-16 08:07:15,baseline,10.0.3.43,api,user,GET,17,21.59,47.38,38.6,51075,Medium,0,normal
EVT-00031,2026-03-16 08:07:30,baseline,10.0.8.20,web,user,GET,13,24.33,34.36,35.2,64914,Low,0,normal
EVT-00032,2026-03-16 08:07:45,baseline,10.0.18.242,files,guest,PUT,14,53.03,52.44,29.17,50593,Low,0,normal
EVT-00033,2026-03-16 08:08:00,baseline,10.0.3.146,api,user,GET,15,60.73,63.25,42.18,65110,Low,0,normal
EVT-00034,2026-03-16 08:08:15,baseline,10.0.5.166,api,user,POST,10,6.62,11.17,34.44,64997,High,0,normal
EVT-00035,2026-03-16 08:08:30,baseline,10.0.16.228,files,user,GET,18,35.31,38.61,39.11,64667,Medium,0,normal
EVT-00036,2026-03-16 08:08:45,baseline,10.0.7.250,web,user,GET,14,18.91,47.13,42.42,55318,Medium,0,normal
EVT-00037,2026-03-16 08:09:00,baseline,10.0.11.91,files,user,GET,10,103.62,6.16,32.85,61005,Low,0,normal
EVT-00038,2026-03-16 08:09:15,baseline,10.0.4.26,api,user,GET,12,208.51,97.9,35.48,60821,Medium,0,normal
EVT-00039,2026-03-16 08:09:30,baseline,10.0.16.145,files,guest,POST,16,30.23,14.91,42.02,64014,Medium,0,normal
EVT-00040,2026-03-16 08:09:45,baseline,10.0.2.251,web,user,DELETE,16,13.18,115.93,25.17,65044,Low,0,normal
EVT-00041,2026-03-16 08:10:00,baseline,10.0.8.100,auth,user,POST,14,33.63,28.68,36.54,56281,Medium,0,normal
EVT-00042,2026-03-16 08:10:15,baseline,10.0.17.88,auth,guest,GET,7,86.05,27.81,35.11,61723,Low,0,normal
EVT-00043,2026-03-16 08:10:30,baseline,10.0.10.196,auth,user,GET,10,17.27,0.81,24.36,56273,Medium,0,normal
EVT-00044,2026-03-16 08:10:45,baseline,10.0.7.75,web,user,GET,18,48.94,85.8,29.74,58074,Low,0,normal
EVT-00045,2026-03-16 08:11:00,baseline,10.0.14.191,files,user,GET,17,84.55,14.44,33.33,60245,Low,0,normal
EVT-00046,2026-03-16 08:11:15,baseline,10.0.2.167,api,user,GET,19,11.07,12.81,26.05,53331,Low,0,normal
EVT-00047,2026-03-16 08:11:30,baseline,10.0.10.58,web,user,PUT,15,8.09,57.79,33.07,51481,Low,0,normal
EVT-00048,2026-03-16 08:11:45,baseline,10.0.11.204,api,user,POST,10,6.12,78.49,27.8,61860,Medium,0,normal
EVT-00049,2026-03-16 08:12:00,baseline,10.0.8.100,web,user,GET,10,1.87,57.56,16.65,54719,Low,0,normal
EVT-00050,2026-03-16 08:12:15,baseline,10.0.1.71,auth,user,POST,21,5.06,54.3,26.65,62079,Low,0,normal
EVT-00051,2026-03-16 08:12:30,baseline,10.0.3.11,api,user,GET,10,47.58,2.34,31.03,49721,Low,0,normal
EVT-00052,2026-03-16 08:12:45,baseline,10.0.12.78,api,admin,GET,17,12.03,52.78,38.05,49966,Low,0,normal
EVT-00053,2026-03-16 08:13:00,baseline,10.0.14.224,web,user,GET,16,28.95,1.78,40.67,53706,Low,0,normal
EVT-00054,2026-03-16 08:13:15,baseline,10.0.6.68,api,guest,GET,8,25.62,147.88,32.75,54251,Low,0,normal
EVT-00055,2026-03-16 08:13:30,baseline,10.0.3.243,auth,user,GET,8,42.5,77.48,38.97,53965,Low,0,normal
EVT-00056,2026-03-16 08:13:45,baseline,10.0.4.27,web,user,PUT,14,13.72,5.29,31.64,65435,Medium,0,normal
EVT-00057,2026-03-16 08:14:00,baseline,10.0.6.27,web,guest,POST,15,297.35,83.7,38.29,65431,Medium,0,normal
EVT-00058,2026-03-16 08:14:15,baseline,10.0.1.126,auth,user,POST,13,20.57,6.48,29.84,56375,Low,0,normal
EVT-00059,2026-03-16 08:14:30,baseline,10.0.16.242,web,admin,GET,15,65.54,124.92,46.04,64420,Low,0,normal
EVT-00060,2026-03-16 08:14:45,baseline,10.0.9.44,api,user,GET,13,453.08,112.96,34.12,60335,Low,0,normal
EVT-00061,2026-03-16 08:15:00,baseline,10.0.14.11,api,guest,GET,14,201.21,25.07,37.45,57659,High,0,normal
EVT-00062,2026-03-16 08:15:15,baseline,10.0.13.64,files,user,GET,11,26.84,29.45,39.37,64616,Medium,0,normal
EVT-00063,2026-03-16 08:15:30,baseline,10.0.4.113,web,user,GET,19,27.84,65.19,39.45,60163,Medium,0,normal
EVT-00064,2026-03-16 08:15:45,baseline,10.0.7.6,web,user,GET,15,134.31,8.57,32.62,58355,Low,0,normal
EVT-00065,2026-03-16 08:16:00,baseline,10.0.7.80,auth,user,POST,12,14.46,23.23,37.67,60801,Critical,0,normal
EVT-00066,2026-03-16 08:16:15,baseline,10.0.15.102,api,guest,POST,16,50.03,23.36,28.85,60440,Low,0,normal
EVT-00067,2026-03-16 08:16:30,baseline,10.0.18.45,web,user,PUT,14,116.79,1.91,49.93,60254,Low,0,normal
EVT-00068,2026-03-16 08:16:45,baseline,10.0.4.162,web,user,PUT,10,1.05,28.31,38.92,58485,Low,0,normal
EVT-00069,2026-03-16 08:17:00,baseline,10.0.5.120,web,user,PUT,19,9.38,11.89,34.08,55276,Low,0,normal
EVT-00070,2026-03-16 08:17:15,baseline,10.0.19.214,auth,user,GET,14,45.95,48.33,31.75,61791,Medium,0,normal
EVT-00071,2026-03-16 08:17:30,baseline,10.0.18.161,files,user,GET,14,2.75,95.3,34.59,62933,Low,0,normal
EVT-00072,2026-03-16 08:17:45,baseline,10.0.2.51,api,user,DELETE,13,41.52,68.67,41.66,55781,Low,0,normal
EVT-00073,2026-03-16 08:18:00,baseline,10.0.4.101,web,user,GET,18,24.92,2.18,37.35,52713,Low,0,normal
EVT-00074,2026-03-16 08:18:15,baseline,10.0.1.196,api,user,DELETE,20,13.0,76.95,24.38,49859,Low,0,normal
EVT-00075,2026-03-16 08:18:30,baseline,10.0.19.14,web,guest,POST,21,2.72,9.04,27.66,59251,Low,0,normal
EVT-00076,2026-03-16 08:18:45,baseline,10.0.18.138,files,user,GET,19,6.43,3.2,19.72,56868,Medium,0,normal
EVT-00077,2026-03-16 08:19:00,baseline,10.0.18.221,api,user,GET,12,20.61,52.26,42.33,62794,Medium,0,normal
EVT-00078,2026-03-16 08:19:15,baseline,10.0.2.230,web,guest,POST,19,10.44,40.09,37.25,62184,Low,0,normal
EVT-00079,2026-03-16 08:19:30,baseline,10.0.3.154,web,guest,POST,15,10.92,5.24,28.2,59052,Medium,0,normal
EVT-00080,2026-03-16 08:19:45,baseline,10.0.13.216,auth,user,PUT,13,24.0,97.6,33.64,65419,Low,0,normal
EVT-00081,2026-03-16 08:20:00,baseline,10.0.16.137,auth,user,GET,14,15.25,44.42,43.97,50161,Critical,0,normal
EVT-00082,2026-03-16 08:20:15,baseline,10.0.7.153,web,admin,PUT,18,257.45,13.94,30.32,61345,Low,0,normal
EVT-00083,2026-03-16 08:20:30,baseline,10.0.8.234,web,user,GET,14,27.01,195.43,36.98,62070,Low,0,normal
EVT-00084,2026-03-16 08:20:45,baseline,10.0.5.232,web,user,GET,15,52.9,20.74,46.26,63544,Low,0,normal
EVT-00085,2026-03-16 08:21:00,baseline,10.0.5.184,auth,user,DELETE,15,7.63,11.0,24.15,49218,Low,0,normal
EVT-00086,2026-03-16 08:21:15,baseline,10.0.6.199,api,user,GET,18,42.66,65.49,20.98,54655,Medium,0,normal
EVT-00087,2026-03-16 08:21:30,baseline,10.0.3.164,web,user,PUT,14,26.62,9.38,38.77,57227,Medium,0,normal
EVT-00088,2026-03-16 08:21:45,baseline,10.0.14.243,files,user,GET,14,60.86,9.3,49.76,60533,Low,0,normal
EVT-00089,2026-03-16 08:22:00,baseline,10.0.7.107,web,user,GET,20,7.3,4.59,27.86,59770,Low,0,normal
EVT-00090,2026-03-16 08:22:15,baseline,10.0.1.61,web,user,GET,10,25.59,10.96,38.13,57482,Medium,0,normal
EVT-00091,2026-03-16 08:22:30,baseline,10.0.1.231,web,user,GET,17,40.47,24.01,41.57,55217,Low,0,normal
EVT-00092,2026-03-16 08:22:45,baseline,10.0.18.84,web,admin,GET,21,117.09,28.17,28.77,51415,Low,0,normal
EVT-00093,2026-03-16 08:23:00,baseline,10.0.8.127,files,guest,POST,27,1.78,102.3,16.05,61135,Medium,0,normal
EVT-00094,2026-03-16 08:23:15,baseline,10.0.20.234,web,user,GET,14,141.0,73.11,52.47,50826,High,0,normal
EVT-00095,2026-03-16 08:23:30,baseline,10.0.7.218,files,user,GET,16,40.26,10.13,40.01,61435,Low,0,normal
EVT-00096,2026-03-16 08:23:45,baseline,10.0.5.205,api,user,GET,14,5.32,19.55,38.07,52460,High,0,normal
EVT-00097,2026-03-16 08:24:00,baseline,10.0.9.58,auth,user,PUT,13,17.65,79.93,46.57,63457,Low,0,normal
EVT-00098,2026-03-16 08:24:15,baseline,10.0.19.67,api,user,DELETE,24,8.04,11.58,35.1,56217,Medium,0,normal
EVT-00099,2026-03-16 08:24:30,baseline,10.0.18.146,web,guest,POST,13,17.44,68.87,46.43,55005,Low,0,normal
EVT-00100,2026-03-16 08:24:45,baseline,10.0.2.45,api,user,POST,18,11.9,5.2,20.54,52381,Medium,0,normal
EVT-00101,2026-03-16 08:25:00,baseline,10.0.6.80,auth,admin,GET,14,22.86,40.51,28.59,52624,Low,0,normal
EVT-00102,2026-03-16 08:25:15,baseline,10.0.16.49,web,user,GET,23,2.86,65.08,44.66,56266,Medium,0,normal
EVT-00103,2026-03-16 08:25:30,baseline,10.0.14.38,web,user,GET,19,2.71,36.51,29.2,52517,Low,0,normal
EVT-00104,2026-03-16 08:25:45,baseline,10.0.4.151,api,user,GET,30,9.54,30.33,47.1,51029,Low,0,normal
EVT-00105,2026-03-16 08:26:00,baseline,10.0.5.215,auth,admin,GET,20,36.65,45.1,26.16,57014,Medium,0,normal
EVT-00106,2026-03-16 08:26:15,baseline,10.0.12.159,auth,user,GET,8,15.84,27.56,34.45,53028,Medium,0,normal
EVT-00107,2026-03-16 08:26:30,baseline,10.0.11.192,auth,user,POST,18,3.65,99.17,49.33,64537,Low,0,normal
EVT-00108,2026-03-16 08:26:45,baseline,10.0.2.243,api,guest,GET,14,40.67,29.12,37.02,52200,Medium,0,normal
EVT-00109,2026-03-16 08:27:00,baseline,10.0.15.26,web,user,DELETE,10,7.67,20.32,46.86,58094,Low,0,normal
EVT-00110,2026-03-16 08:27:15,baseline,10.0.3.198,web,user,GET,18,18.46,114.57,34.51,58153,High,0,normal
EVT-00111,2026-03-16 08:27:30,baseline,10.0.5.41,files,guest,POST,17,5.61,134.76,36.24,56369,Low,0,normal
EVT-00112,2026-03-16 08:27:45,baseline,10.0.16.75,api,user,GET,15,4.02,111.57,40.06,56221,Medium,0,normal
EVT-00113,2026-03-16 08:28:00,baseline,10.0.1.217,auth,guest,POST,18,22.07,33.06,23.65,64069,High,0,normal
EVT-00114,2026-03-16 08:28:15,baseline,10.0.9.249,api,user,GET,17,44.79,22.93,21.42,65189,Medium,0,normal
EVT-00115,2026-03-16 08:28:30,baseline,10.0.18.73,auth,user,GET,20,59.35,51.03,16.16,53402,Low,0,normal
EVT-00116,2026-03-16 08:28:45,baseline,10.0.10.237,api,user,DELETE,17,42.57,15.11,39.35,59620,Medium,0,normal
EVT-00117,2026-03-16 08:29:00,baseline,10.0.9.140,web,user,GET,13,57.79,5.67,30.1,56702,Medium,0,normal
EVT-00118,2026-03-16 08:29:15,baseline,10.0.2.220,auth,admin,PUT,11,4.44,17.1,44.91,52872,Medium,0,normal
EVT-00119,2026-03-16 08:29:30,baseline,10.0.16.98,web,user,PUT,12,7.49,6.97,41.07,54812,Medium,0,normal
EVT-00120,2026-03-16 08:29:45,baseline,10.0.9.185,api,user,GET,11,42.97,9.14,37.73,55309,Low,0,normal
EVT-00121,2026-03-16 08:30:00,baseline,10.0.17.243,auth,guest,POST,22,17.08,9.3,25.61,64072,Low,0,normal
EVT-00122,2026-03-16 08:30:15,baseline,10.0.6.140,api,user,GET,13,102.6,8.63,34.6,61397,Low,0,normal
EVT-00123,2026-03-16 08:30:30,baseline,10.0.17.175,web,user,GET,11,87.18,51.57,44.17,55492,Medium,0,normal
EVT-00124,2026-03-16 08:30:45,baseline,10.0.1.70,api,user,GET,13,68.9,43.68,43.07,58943,Low,0,normal
EVT-00125,2026-03-16 08:31:00,baseline,10.0.6.2,web,user,POST,16,24.23,87.16,35.59,60578,Low,0,normal
EVT-00126,2026-03-16 08:31:15,baseline,10.0.6.157,files,guest,GET,10,38.36,116.93,41.23,50058,Medium,0,normal
EVT-00127,2026-03-16 08:31:30,baseline,10.0.12.111,files,user,POST,17,81.72,13.71,40.17,57709,Low,0,normal
EVT-00128,2026-03-16 08:31:45,baseline,10.0.9.183,web,user,POST,12,13.76,24.85,38.58,53325,Low,0,normal
EVT-00129,2026-03-16 08:32:00,baseline,10.0.17.22,auth,guest,POST,17,19.77,53.08,42.01,57189,Low,0,normal
EVT-00130,2026-03-16 08:32:15,baseline,10.0.1.84,web,user,DELETE,16,39.55,52.46,13.83,53826,Low,0,normal
EVT-00131,2026-03-16 08:32:30,baseline,10.0.9.39,api,user,GET,15,4.22,11.25,30.18,49192,Medium,0,normal
EVT-00132,2026-03-16 08:32:45,baseline,10.0.2.253,web,user,PUT,11,79.53,147.51,27.45,61663,Medium,0,normal
EVT-00133,2026-03-16 08:33:00,baseline,10.0.11.30,web,admin,GET,22,18.95,12.89,19.16,63482,Low,0,normal
EVT-00134,2026-03-16 08:33:15,baseline,10.0.4.63,web,user,GET,22,8.09,4.09,25.93,58502,Low,0,normal
EVT-00135,2026-03-16 08:33:30,baseline,10.0.19.247,auth,guest,PUT,17,44.89,60.95,33.83,52604,Low,0,normal
EVT-00136,2026-03-16 08:33:45,baseline,10.0.8.187,web,admin,GET,15,12.02,18.43,26.47,50716,Low,0,normal
EVT-00137,2026-03-16 08:34:00,baseline,10.0.15.21,web,guest,GET,11,10.52,97.16,29.85,53414,Medium,0,normal
EVT-00138,2026-03-16 08:34:15,baseline,10.0.1.198,auth,guest,GET,12,5.56,250.64,44.56,62246,Low,0,normal
EVT-00139,2026-03-16 08:34:30,baseline,10.0.9.155,api,guest,POST,11,70.58,11.47,38.38,59919,Low,0,normal
EVT-00140,2026-03-16 08:34:45,baseline,10.0.11.68,auth,user,GET,13,70.9,67.43,39.27,56667,Medium,0,normal
EVT-00141,2026-03-16 08:35:00,baseline,10.0.19.180,web,user,GET,19,13.66,31.48,40.96,58002,Low,0,normal
EVT-00142,2026-03-16 08:35:15,baseline,10.0.18.11,web,guest,PUT,12,18.45,6.78,39.68,58785,Low,0,normal
EVT-00143,2026-03-16 08:35:30,baseline,10.0.13.156,web,user,GET,13,46.56,60.63,37.69,64606,Low,0,normal
EVT-00144,2026-03-16 08:35:45,baseline,10.0.19.45,files,user,GET,15,10.88,12.24,34.64,62612,High,0,normal
EVT-00145,2026-03-16 08:36:00,baseline,10.0.10.181,web,guest,PUT,13,111.46,30.75,51.59,57937,Low,0,normal
EVT-00146,2026-03-16 08:36:15,baseline,10.0.19.170,web,user,GET,6,17.54,7.19,27.44,54343,Medium,0,normal
EVT-00147,2026-03-16 08:36:30,baseline,10.0.20.75,files,user,GET,9,18.64,61.02,41.45,49932,Low,0,normal
EVT-00148,2026-03-16 08:36:45,baseline,10.0.15.176,api,user,GET,12,9.25,52.32,40.3,52120,Critical,0,normal
EVT-00149,2026-03-16 08:37:00,baseline,10.0.15.123,auth,user,DELETE,11,5.36,52.87,32.89,61079,Medium,0,normal
EVT-00150,2026-03-16 08:37:15,baseline,10.0.11.249,api,user,GET,17,30.23,19.04,15.95,61556,Medium,0,normal
EVT-00151,2026-03-16 08:37:30,baseline,10.0.4.172,web,guest,GET,19,12.86,17.69,32.34,60572,Low,0,normal
EVT-00152,2026-03-16 08:37:45,baseline,10.0.3.164,auth,user,GET,17,6.48,16.12,32.81,49402,Low,0,normal
EVT-00153,2026-03-16 08:38:00,baseline,10.0.7.199,api,user,GET,20,59.13,55.76,39.4,65211,Medium,0,normal
EVT-00154,2026-03-16 08:38:15,baseline,10.0.3.224,files,user,GET,12,6.41,61.16,22.81,52385,Low,0,normal
EVT-00155,2026-03-16 08:38:30,baseline,10.0.8.250,web,user,GET,16,6.63,38.83,34.36,62990,Medium,0,normal
EVT-00156,2026-03-16 08:38:45,baseline,10.0.13.157,auth,user,POST,11,21.45,13.39,30.51,62874,High,0,normal
EVT-00157,2026-03-16 08:39:00,baseline,10.0.5.230,web,user,GET,16,56.55,148.15,41.01,60734,Low,0,normal
EVT-00158,2026-03-16 08:39:15,baseline,10.0.16.158,files,user,POST,18,19.05,6.49,21.92,50983,Low,0,normal
EVT-00159,2026-03-16 08:39:30,baseline,10.0.12.154,web,user,DELETE,12,5.96,43.95,40.17,51692,Low,0,normal
EVT-00160,2026-03-16 08:39:45,baseline,10.0.13.195,auth,user,POST,19,8.03,25.27,42.79,57988,Low,0,normal
EVT-00161,2026-03-16 08:40:00,baseline,10.0.18.62,api,guest,DELETE,16,8.25,7.98,44.52,49420,Low,0,normal
EVT-00162,2026-03-16 08:40:15,baseline,10.0.17.217,api,guest,POST,23,197.63,17.27,32.5,54630,Medium,0,normal
EVT-00163,2026-03-16 08:40:30,baseline,10.0.9.171,web,user,GET,24,101.71,69.88,38.03,58683,Low,0,normal
EVT-00164,2026-03-16 08:40:45,baseline,10.0.11.205,web,guest,GET,14,24.48,19.92,37.38,62773,Low,0,normal
EVT-00165,2026-03-16 08:41:00,baseline,10.0.6.152,web,user,GET,13,21.18,38.9,34.34,54017,Medium,0,normal
EVT-00166,2026-03-16 08:41:15,baseline,10.0.17.41,web,user,GET,11,49.58,10.17,21.28,61061,High,0,normal
EVT-00167,2026-03-16 08:41:30,baseline,10.0.1.17,web,user,GET,16,9.69,89.22,34.99,59884,Medium,0,normal
EVT-00168,2026-03-16 08:41:45,baseline,10.0.15.132,files,guest,GET,15,52.21,44.19,37.08,52135,Medium,0,normal
EVT-00169,2026-03-16 08:42:00,baseline,10.0.15.95,web,admin,GET,14,11.45,92.18,40.55,49477,High,0,normal
EVT-00170,2026-03-16 08:42:15,baseline,10.0.19.39,web,user,POST,8,48.51,335.94,26.83,58078,Medium,0,normal
EVT-00171,2026-03-16 08:42:30,baseline,10.0.10.29,web,user,GET,11,114.49,95.11,13.81,60673,Low,0,normal
EVT-00172,2026-03-16 08:42:45,baseline,10.0.2.31,web,user,GET,19,42.47,25.99,33.1,51789,Low,0,normal
EVT-00173,2026-03-16 08:43:00,baseline,10.0.10.20,web,user,GET,20,157.53,53.92,26.28,62370,Low,0,normal
EVT-00174,2026-03-16 08:43:15,baseline,10.0.18.118,api,user,PUT,10,28.61,41.66,39.45,51691,High,0,normal
EVT-00175,2026-03-16 08:43:30,baseline,10.0.2.10,auth,user,PUT,7,128.13,193.53,30.36,63662,Low,0,normal
EVT-00176,2026-03-16 08:43:45,baseline,10.0.11.30,web,user,POST,16,119.08,44.71,27.71,63940,Low,0,normal
EVT-00177,2026-03-16 08:44:00,baseline,10.0.8.234,web,user,GET,19,4.78,12.06,52.48,65162,Medium,0,normal
EVT-00178,2026-03-16 08:44:15,baseline,10.0.20.118,web,user,GET,20,21.02,19.39,31.58,61242,Low,0,normal
EVT-00179,2026-03-16 08:44:30,baseline,10.0.14.168,api,user,GET,23,71.88,9.1,30.07,55150,Low,0,normal
EVT-00180,2026-03-16 08:44:45,baseline,10.0.4.84,web,user,GET,14,55.82,43.32,31.07,63337,Medium,0,normal
EVT-00181,2026-03-16 08:45:00,baseline,10.0.13.175,web,user,POST,19,11.94,161.57,33.64,59623,Medium,0,normal
EVT-00182,2026-03-16 08:45:15,baseline,10.0.14.73,web,user,DELETE,14,27.75,4.22,33.35,49579,Low,0,normal
EVT-00183,2026-03-16 08:45:30,baseline,10.0.6.52,auth,user,POST,16,7.14,19.74,41.6,60664,Medium,0,normal
EVT-00184,2026-03-16 08:45:45,baseline,10.0.16.59,web,user,GET,19,16.83,55.44,49.23,50549,Medium,0,normal
EVT-00185,2026-03-16 08:46:00,baseline,10.0.5.216,api,user,POST,20,28.37,72.05,41.42,49645,Low,0,normal
EVT-00186,2026-03-16 08:46:15,baseline,10.0.2.25,web,user,GET,21,13.44,36.76,24.14,54063,High,0,normal
EVT-00187,2026-03-16 08:46:30,baseline,10.0.11.73,auth,user,GET,20,47.71,68.49,34.58,55492,Low,0,normal
EVT-00188,2026-03-16 08:46:45,baseline,10.0.15.188,web,guest,GET,14,7.04,16.63,44.37,51336,Medium,0,normal
EVT-00189,2026-03-16 08:47:00,baseline,10.0.8.84,api,user,GET,8,3.79,108.64,32.66,58472,Low,0,normal
EVT-00190,2026-03-16 08:47:15,baseline,10.0.12.205,auth,user,GET,15,7.96,6.44,43.22,54504,Low,0,normal
EVT-00191,2026-03-16 08:47:30,baseline,10.0.5.58,api,guest,GET,16,19.0,24.12,28.37,51440,Medium,0,normal
EVT-00192,2026-03-16 08:47:45,baseline,10.0.16.147,files,user,GET,15,27.69,29.56,29.56,50680,Medium,0,normal
EVT-00193,2026-03-16 08:48:00,baseline,10.0.10.9,api,user,DELETE,16,87.64,33.29,27.37,53731,Low,0,normal
EVT-00194,2026-03-16 08:48:15,baseline,10.0.12.41,auth,user,GET,13,34.98,105.28,29.07,62410,Medium,0,normal
EVT-00195,2026-03-16 08:48:30,baseline,10.0.17.70,api,user,DELETE,13,7.52,24.72,34.56,53109,Medium,0,normal
EVT-00196,2026-03-16 08:48:45,baseline,10.0.19.48,auth,user,PUT,19,20.36,59.77,30.47,62118,Medium,0,normal
EVT-00197,2026-03-16 08:49:00,baseline,10.0.16.87,api,user,GET,12,55.27,35.45,37.27,60148,Medium,0,normal
EVT-00198,2026-03-16 08:49:15,baseline,10.0.5.157,web,user,GET,22,56.59,101.24,46.45,58528,Low,0,normal
EVT-00199,2026-03-16 08:49:30,baseline,10.0.14.55,api,user,POST,19,118.71,135.89,44.47,54892,Medium,0,normal
EVT-00200,2026-03-16 08:49:45,baseline,10.0.13.18,auth,guest,GET,20,14.9,8.15,36.46,63520,Medium,0,normal
EVT-00201,2026-03-16 08:50:00,baseline,10.0.20.187,api,user,GET,15,55.32,39.98,30.82,62766,Medium,0,normal
EVT-00202,2026-03-16 08:50:15,baseline,10.0.20.166,files,user,POST,16,31.65,18.14,36.16,58372,Low,0,normal
EVT-00203,2026-03-16 08:50:30,baseline,10.0.3.162,web,user,POST,19,41.06,24.83,25.89,49726,Low,0,normal
EVT-00204,2026-03-16 08:50:45,baseline,10.0.11.163,auth,user,DELETE,16,21.34,24.99,48.93,52358,Low,0,normal
EVT-00205,2026-03-16 08:51:00,baseline,10.0.18.185,auth,user,GET,9,4.35,43.08,25.29,63601,Low,0,normal
EVT-00206,2026-03-16 08:51:15,baseline,10.0.15.219,api,user,PUT,14,7.39,36.89,38.81,53308,Medium,0,normal
EVT-00207,2026-03-16 08:51:30,baseline,10.0.1.122,api,guest,GET,17,5.35,9.56,28.6,49242,Low,0,normal
EVT-00208,2026-03-16 08:51:45,baseline,10.0.17.243,api,user,POST,21,23.13,31.67,23.26,53412,Low,0,normal
EVT-00209,2026-03-16 08:52:00,baseline,10.0.5.93,auth,user,GET,15,23.83,22.38,25.68,49361,Low,0,normal
EVT-00210,2026-03-16 08:52:15,baseline,10.0.1.48,api,user,GET,21,54.3,2.18,34.84,49802,Low,0,normal
EVT-00211,2026-03-16 08:52:30,baseline,10.0.3.203,web,guest,PUT,16,1.42,26.33,39.53,60892,Medium,0,normal
EVT-00212,2026-03-16 08:52:45,baseline,10.0.13.232,files,user,GET,19,4.38,64.18,37.61,61101,Low,0,normal
